version,N,threads,width,repeats,count,best_ms,median_ms,speedup_vs_seq
seq-u32,10000000,auto,32,3,664579,622.52,622.794,1.0
seq-u64,10000000,auto,64,3,664579,619.995,623.111,1.0
partition-u32,10000000,auto,32,3,664579,71.487,72.103,8.71
partition-u64,10000000,auto,64,3,664579,71.92,72.748,8.62
stripe-u32,10000000,auto,32,3,664579,86.966,87.026,7.16
stripe-u64,10000000,auto,64,3,664579,86.531,86.914,7.17
atomic_counter-u32,10000000,auto,32,3,664579,93.908,94.077,6.63
atomic_counter-u64,10000000,auto,64,3,664579,94.004,94.276,6.6
atomic_dynamic-u32,10000000,auto,32,3,664579,55.404,55.569,11.24
atomic_dynamic-u64,10000000,auto,64,3,664579,55.346,55.37,11.2
openmp-u32,10000000,auto,32,3,664579,55.425,55.444,11.23
openmp-u64,10000000,auto,64,3,664579,55.423,55.887,11.19
omp_target-u32,10000000,auto,32,3,664579,67.619,70.913,9.21
omp_target-u64,10000000,auto,64,3,664579,65.956,66.779,9.4
opencl-u32,10000000,auto,32,3,664579,59.984,61.611,10.38
opencl-u64,10000000,auto,64,3,664579,697.185,704.124,0.89
