n,N,version,best_ms,median_ms,count
3,1000,sieve_cpu,0.161,0.178,168
3,1000,sieve_gpu,4.594,5.076,168
4,10000,sieve_cpu,0.159,0.216,1229
4,10000,sieve_gpu,5.0,5.375,1229
5,100000,sieve_cpu,0.151,0.183,9592
5,100000,sieve_gpu,4.545,4.833,9592
6,1000000,sieve_cpu,0.182,0.237,78498
6,1000000,sieve_gpu,4.374,6.597,78498
7,10000000,sieve_cpu,0.5,0.662,664579
7,10000000,sieve_gpu,5.251,5.729,664579
8,100000000,sieve_cpu,3.171,3.995,5761455
8,100000000,sieve_gpu,7.453,9.005,5761455
9,1000000000,sieve_cpu,33.388,33.754,50847534
9,1000000000,sieve_gpu,27.592,37.053,50847534
10,10000000000,sieve_cpu,412.861,414.003,455052511
10,10000000000,sieve_gpu,341.036,342.221,455052511
11,100000000000,sieve_cpu,5592.019,5633.57,4118054813
11,100000000000,sieve_gpu,7467.833,7493.103,4118054813
12,1000000000000,sieve_cpu,97419.055,97466.229,37607912018
12,1000000000000,sieve_gpu,197277.272,213676.243,37607912018
