version,N,threads,repeats,count,best_ms,speedup_self,efficiency
partition,10000000,1,3,664579,1811.858,1.0,1.0
partition,10000000,2,3,664579,1135.27,1.596,0.798
partition,10000000,4,3,664579,622.045,2.913,0.728
partition,10000000,8,3,664579,333.908,5.426,0.678
partition,10000000,12,3,664579,254.298,7.125,0.594
partition,10000000,16,3,664579,208.097,8.707,0.544
stripe,10000000,1,3,664579,1808.494,1.0,1.0
stripe,10000000,2,3,664579,1815.132,0.996,0.498
stripe,10000000,4,3,664579,915.585,1.975,0.494
stripe,10000000,8,3,664579,476.522,3.795,0.474
stripe,10000000,12,3,664579,485.489,3.725,0.31
stripe,10000000,16,3,664579,257.535,7.022,0.439
atomic_counter,10000000,1,3,664579,1815.594,1.0,1.0
atomic_counter,10000000,2,3,664579,1811.431,1.002,0.501
atomic_counter,10000000,4,3,664579,916.962,1.98,0.495
atomic_counter,10000000,8,3,664579,473.882,3.831,0.479
atomic_counter,10000000,12,3,664579,476.964,3.807,0.317
atomic_counter,10000000,16,3,664579,254.675,7.129,0.446
atomic_dynamic,10000000,1,3,664579,1821.943,1.0,1.0
atomic_dynamic,10000000,2,3,664579,918.471,1.984,0.992
atomic_dynamic,10000000,4,3,664579,475.755,3.83,0.957
atomic_dynamic,10000000,8,3,664579,252.398,7.219,0.902
atomic_dynamic,10000000,12,3,664579,199.394,9.137,0.761
atomic_dynamic,10000000,16,3,664579,163.59,11.137,0.696
sieve_cpu,10000000,1,3,664579,9.623,1.0,1.0
sieve_cpu,10000000,2,3,664579,6.136,1.568,0.784
sieve_cpu,10000000,4,3,664579,4.182,2.301,0.575
sieve_cpu,10000000,8,3,664579,3.472,2.772,0.346
sieve_cpu,10000000,12,3,664579,3.711,2.593,0.216
sieve_cpu,10000000,16,3,664579,3.959,2.431,0.152
